url,ssl_certificate_valid,dns_lookup,google_safe_browsing,label
https://mail.google.com/mail,1,1,0,Safe
https://www.google.com,1,1,0,safe
https://www.facebook.com,1,1,0,safe
https://www.youtube.com,1,1,0,safe
https://www.amazon.com,1,1,0,safe
https://www.wikipedia.org,1,1,0,safe
https://www.microsoft.com,1,1,0,safe
https://www.apple.com,1,1,0,safe
https://www.instagram.com,1,1,0,safe
https://www.linkedin.com,1,1,0,safe
https://www.twitter.com,1,1,0,safe
http://phishing-site-example.com,0,0,1,malicious
http://badsite.xyz,0,0,1,malicious
http://stealyourpasswords.ru,0,0,1,malicious
http://update-bank-info.com,0,0,1,malicious
http://verify-account-login.net,0,0,1,malicious
https://mail.google.com,1,1,0,Safe
https://chatgpt.com,1,1,0,Safe
